,nces_name,zipcode,title,address,data_id,rating,n_reviews
0,ANDERSON CREEK ACADEMY,28390,Anderson Creek Academy,"4940 Ray Rd, Spring Lake, NC 28390",0x89ab67abcaf1cc4f:0x41664251fa9c92f2,3.3,17
0,ANDREWS ELEMENTARY,28901,Andrews Elementary School,"205 Jean Christy Ave, Andrews, NC 28901",0x885edb0d2e4f820b:0x3dd67a4c5378f034,5.0,3
0,ANDREWS HIGH,28901,Andrews High School,"50 High School Dr, Andrews, NC 28901",0x885edb0c8511a3d7:0x2b452d435a417acb,2.3,3
0,ANDREWS MIDDLE,28901,Andrews Middle School,"2750 US-19 BUS, Andrews, NC 28901",0x885edafbca1a00f3:0xb042cc7c2b8fc0ed,4.7,3
0,ANGIER ELEMENTARY,27501,Angier Elementary School,"130 E McIver St, Angier, NC 27501",0x89ac869a87acbb27:0xfa75fe53f13d29b2,4.8,8
0,ANNE CHESNUTT MIDDLE,28314,Anne Chesnutt Middle School,"2121 Skibo Rd, Fayetteville, NC 28314",0x89ab14d8044f44cd:0x4e887e72b0d2cfea,4.0,23
0,ANSON CO. EARLY COLLEGE HIGH,28135,Anson County Early College,"680 US-74, Polkton, NC 28135",0x88545a7360982ccd:0xe7a3e0a3e7d74126,4.8,4
0,ANSON HIGH SCHOOL,28170,Anson High School,"96 Anson High School Rd, Wadesboro, NC 28170",0x885457fc860984a1:0x7dd665de1d32a515,2.7,12
0,ANSON MIDDLE,28170,Anson Middle School,"832 US-52, Wadesboro, NC 28170",0x8854f7f9f2507d1f:0xe58e1782aa1d47d,5.0,1
0,ANSONVILLE ELEMENTARY,28007,Ansonville Elementary School,"9104 US-52, Wadesboro, NC 28170",0x88545f6523400db3:0x2388d24bdea38789,5.0,4
0,ANTIOCH ELEMENTARY,28104,Antioch Elementary School,"3101 Antioch Church Rd, Matthews, NC 28104",0x885426752242c4b1:0xa56c5c72367e7f49,4.2,6
0,APEX ELEMENTARY,27502,Apex Elementary School,"700 Tingen Rd, Apex, NC 27502",0x89ac9295f7d37eff:0x22090bdd31de632d,4.8,8
0,APEX HIGH,27502,Apex High School,"1501 Laura Duncan Rd, Apex, NC 27502",0x89acf2aa8e65fd27:0xb6d5748c5d5f2953,3.8,4
0,APEX MIDDLE,27502,Apex Middle School,"400 E Moore St, Apex, NC 27502",0x89ac92a324ed2797:0xc8e78f79d773c415,2.7,83
0,APPLE VALLEY MIDDLE,28792,Apple Valley Middle School,"43 Fruitland Rd, Hendersonville, NC 28792",0x8859e851d4cfb5ed:0x61d8af9665cf8671,3.9,12
0,AQUADALE ELEMENTARY,28128,Aquadale Elementary School,"11707 NC-138, Norwood, NC 28128",0x885466f19e530fb1:0x6590eeb098b9684d,5.0,5
0,ARAPAHOE CHARTER SCHOOL,28510,Arapahoe Charter School,"9005 NC-306, Arapahoe, NC 28510",0x89a8b80125c39dcb:0x499f3dcffe3074bf,3.4,13
0,ARCHDALE ELEMENTARY SCHOOL,27263,Archdale Elementary School,"207 Trindale Rd, Archdale, NC 27263, United States",0x88530c3758a8d309:0xc78f5c18eedad1cf,3.7,7
0,ARCHER ELEMENTARY,27407,Archer Elementary School,"2610 Four Seasons Blvd, Greensboro, NC 27407",0x88531a20b05c2ee9:0x81d47a61bc3cd37a,4.6,10
0,ARCHER LODGE MIDDLE,27591,Archer Lodge Middle School,"762 Wendell Rd, Wendell, NC 27591, United States",0x89ac41e41bc1ebd7:0x9a5c5133094596e2,3.5,10
0,ARDREY KELL HIGH SCHOOL,28277,Ardrey Kell High School,"10220 Ardrey Kell Rd, Charlotte, NC 28277, United States",0x885682ba28627941:0x48c33d9f78656805,3.2,32
0,ARISTOTLE PREPARATORY ACADEMY,28214,Aristotle Preparatory Academy,"8101 Fallsdale Dr, Charlotte, NC 28214",0x8856a1e1aaaaaaab:0x51d7ccbf7dd3b504,3.6,17
0,ARMSTRONG ELEMENTARY,28312,Armstrong Elementary School,"3395 Dunn Rd, Eastover, NC 28312",0x89ab73aae03314dd:0x5f970d5c975f1cdf,3.0,5
0,ARTHUR W EDWARDS ELEMENTARY,28532,Arthur W Edwards Elementary School,"base entrance, 200 Education Ln, Havelock, NC 28532",0x89a8c3d06a9e2287:0xb8f6a61f5d3b46c3,3.9,7
0,ARTSPACE CHARTER SCHOOL,28778,ArtSpace Charter School,"2030 US-70, Swannanoa, NC 28778",0x8859f6d2dbb01593:0xe2336cb4a8114f90,4.2,21
0,ASBURY ACADEMY,28092,Asbury Academy,"221 Salem Church Rd, Lincolnton, NC 28092",0x8856c9a76dd6425f:0x9b320df504c37c17,2.2,5
0,ASHBROOK HIGH,28054,Ashbrook High School,"2222 S New Hope Rd, Gastonia, NC 28054",0x8856bfd0d570d499:0x30634acfb592a09d,4.2,20
0,ASHE COUNTY HIGH,28694,Ashe County High School,"184 Campus Dr, West Jefferson, NC 28694",0x89ae14a139e94917:0xc547d0ab8be2428f,3.3,6
0,ASHE COUNTY MIDDLE,28693,Ashe County Middle School,"255 Northwest Ln, Warrensville, NC 28693",0x8851ad49599bbb25:0xc9fd3bc40e472a4,3.4,20
0,ASHEBORO HIGH,27203,Asheboro High School,"1221 S Park St, Asheboro, NC 27203, United States",0x885368cff1013bb7:0x395042b2e9fe3e66,3.3,12
0,ASHEVILLE HIGH,28803,Asheville High School,"419 McDowell St, Asheville, NC 28803",0x8859f3376bfb6879:0xc7a535baccc92948,3.3,18
0,ASHEVILLE MIDDLE,28801,Asheville Middle School,"211 S French Broad Ave, Asheville, NC 28801",0x8859f34d6c58a993:0xc7ce4ce903b9bcc3,2.1,26
0,ASHLEY CHAPEL EDUCATIONAL CENTER,28379,Ashley Chapel Educational Center,"377 Mizpah Rd, Rockingham, NC 28379",0x8854e7ea5df70a7f:0x721860c7440642c8,5.0,2
0,ASHLEY ELEMENTARY,28304,Ashley Elementary School,"810 Trainer Dr, Fayetteville, NC 28304",0x89ab1340b3b5d385:0xe6b956f9024d79b2,4.0,12
0,ASHLEY PARK PREK-8 SCHOOL,28208,Ashley Park Elementary School,"2401 Belfast Dr, Charlotte, NC 28208",0x8856a1fa71cacd5d:0xc3c0f542d93522af,3.4,18
0,ATHENS DRIVE HIGH,27606,Athens Drive Magnet High School,"1420 Athens Dr, Raleigh, NC 27606",0x89acf4f97558c547:0x423e71b831ace850,3.9,49
0,ATKINS ACADEMIC & TECH HIGH,27101,Simon G. Atkins Academic & Technology High School,"3605 Old Greensboro Rd, Winston-Salem, NC 27101",0x8853ae8fc7c3da93:0x173226986a5c1125,2.8,16
0,ATKINSON ELEMENTARY,28739,Atkinson Elementary School,"2510 Old Kanuga Rd, Hendersonville, NC 28739",0x8859c173f54d42c3:0x15e93c9e0b3ebd0,4.0,2
0,ATLANTIC ELEMENTARY,28511,Atlantic Elementary School,"Atlantic, NC 28511, United States",0x89a61be0e9677ec1:0x9f899a7e5a3cac7d,5.0,2
0,AUDREY W. GARRETT ELEMENTARY,27302,Audrey W Garrett Elementary School,"3224 Old Hillsborough Rd, Mebane, NC 27302",0x89acd41c08b4bad3:0x2b6287c15c7fc181,5.0,6
0,AULANDER ELEMENTARY,27805,Aulander Elementary School,"2515 NC-305, Aulander, NC 27805",0x89afb5d431a02a41:0xa8ab15ea1499b355,4.3,4
0,AURELIAN SPRINGS INSTITUTE OF GLOBAL LEA,27850,Aurelian Springs Elementary,"10536 NC-48, Littleton, NC 27850",0x89ae0cf16cc74011:0xa4136ace2a2ccab7,4.8,5
0,AVERSBORO ELEMENTARY,27529,Aversboro Elementary School,"1605 Aversboro Rd, Garner, NC 27529",0x89ac60576376a45d:0x8eacd4b616525fba,4.0,11
0,AVERY COUNTY HIGH,28657,Avery County High School,"401 Avery Co High School Rd, Newland, NC 28657",0x88509388bca2596f:0x945a9ec0aa7166c3,3.6,5
0,AVERY MIDDLE,28657,Avery County Middle School,"102 Old Montezuma Rd, Newland, NC 28657",0x8850947b6f603d9f:0x23b69421fb2b258a,5.0,1
0,AVERY'S CREEK ELEMENTARY,28704,Avery's Creek Elementary School,"15 Park S Blvd, Arden, NC 28704",0x885992db45ae209b:0xb7ead5854560f31a,4.1,13
0,AYCOCK ELEMENTARY,27537,Aycock Elementary School,"305 Carey Chapel Rd, Henderson, NC 27537",0x89adbeeab4c87fe1:0xb44b866ab15c49f8,4.2,10
0,AYDEN ELEMENTARY,28513,Ayden Elementary School,"187 W 3rd St, Ayden, NC 28513",0x89aec4530cf74333:0xa86272ac26e26ed6,3.6,7
0,AYDEN MIDDLE,28513,Ayden Middle School,"192 W 3rd St, Ayden, NC 28513",0x89aec5ad1ce44c7d:0x677fa9b844771475,3.9,8
0,AYDEN-GRIFTON HIGH,28513,Ayden-Grifton High School,"7653 NC-11, Ayden, NC 28513",0x89aecf7df61f268f:0xf0f000c2b7e4c0b1,2.9,12
0,B C ED TECH CENTER,27817,Beaufort County Ed Tech Center,"820 Bridge St, Washington, NC 27889, United States",0x89af2287fc654243:0x52c015796b52f4dc,5.0,4
0,B F GRADY ELEMENTARY,28508,B F Grady Elementary School,"2627 N Nc 11 903 Hwy, Albertson, NC 28508",0x89a95be68cbd0539:0x18ccaaf2f30b86b0,2.3,6
0,B O BARNES ELEMENTARY,27893,Barnes Elementary School,"1913 M.L.K. Jr Pkwy, Wilson, NC 27893",0x89ae9e5e4593e381:0x1024f0cd53ad2ecf,5.0,2
0,BADIN ELEMENTARY,28009,Badin Elementary School,"47 Henderson St, Badin, NC 28009",0x88547deb600ec095:0xa35231939d34ca4a,3.8,4
0,BAILEY ELEMENTARY,27807,Bailey Elementary School,"6288 Pine St, Bailey, NC 27807",0x89ac3b35c253fcd9:0x4589c07e25e6416c,3.8,14
0,BAILEY MIDDLE,28031,Bailey Middle,"11900 Bailey Rd, Cornelius, NC 28031",0x8856a9918a5c12bf:0x10e4d5a6968a5e66,3.3,39
0,BAILEYWICK ROAD ELEMENTARY,27615,Baileywick Elementary School,"9425 Baileywick Rd, Raleigh, NC 27615",0x89acf8058605c4d9:0x8b2810f201f75618,4.3,8
0,BAIN ELEMENTARY,28227,Bain Elementary School,"11524 Bain School Rd, Charlotte, NC 28227",0x885422c46da2db2f:0xe409f00124b5286,4.4,11
0,BALFOUR ELEMENTARY,27203,Balfour Elementary School,"2097 N Asheboro School Rd, Asheboro, NC 27203",0x88536bfce5556f29:0xf99ca34c01285d1a,5.0,5
0,BALLANTYNE ELEMENTARY,28277,Ballantyne Elementary School,"15425 Scholastic Dr, Charlotte, NC 28277, United States",0x88568329b46fb9cd:0xf5826d5695f16361,3.7,18
0,BALLENTINE ELEMENTARY,27526,Ballentine Elementary School,"1651 McLaurin Ln, Fuquay-Varina, NC 27526",0x89ac8edfd5200fe3:0x8854d5e3ed7f4280,4.0,10
0,BALLS CREEK ELEMENTARY,28658,Balls Creek School,"2620 Balls Creek Rd, Newton, NC 28658",0x88514af8924b23a3:0x7be6b64198c67a09,4.1,15
0,BANDYS HIGH,28609,Bandys High School,"5040 E Bandys Cross Rd, Catawba, NC 28609",0x88514b8e47efd173:0xdc53c79b0f341ba0,3.8,10
0,BANKS ELEMENTARY,28504,Banks Elementary School,"2148 Falling Creek Rd, Kinston, NC 28504",0x89aeb334b8521e59:0xeb944c5f674516d8,4.2,5
0,BANKS ROAD ELEMENTARY,27603,Banks Road Elementary School,"10225 Chambers Rd, Raleigh, NC 27603",0x89ac89709b612c25:0xdc9265582c769c45,3.6,18
0,BANNER ELK ELEMENTARY,28604,Banner Elk Elementary School,"155 Orchard Ln, Banner Elk, NC 28604",0x88508d55b854cfb1:0xda952d5687839010,5.0,1
0,BANOAK ELEMENTARY,28168,Banoak Elementary School,"7651 NC-10 Hwy, Vale, NC 28168",0x8856d49134e3a2a7:0x3ecbd9c64feb552f,5.0,4
0,BARNARDSVILLE ELEMENTARY,28709,Barnardsville Elementary School,"20 State Rd 2170, Barnardsville, NC 28709",0x885a1bf18e0005bd:0xe0a01d881f3d533c,4.9,8
0,BARNETTE ELEMENTARY,28078,Barnette Elementary,"13659 Beatties Ford Rd, Huntersville, NC 28078",0x8856af61da036895:0xa27dd0423ceeecb7,3.6,16
0,BARRINGER ACADEMIC CENTER,28208,Charles H. Parker Academic Center,"1546 Walton Rd, Charlotte, NC 28208",0x88569f502f5f18d9:0xb90032777497694a,4.6,16
0,BARTLETT YANCEY HIGH,27379,Bartlett Yancey High School,"466 E St Main, Yanceyville, NC 27379",0x89ad3489d4f73a41:0xdfa05ba7ef21d4b6,2.8,5
0,BARWELL ROAD ELEMENTARY,27610,Barwell Road Elementary School,"3925 Barwell Rd, Raleigh, NC 27610",0x89ac5de93130cf13:0xd1079a4cb101acfc,4.1,19
0,BASKERVILLE ELEMENTARY,27801,Baskerville Elementary School,"1100 Stokes St, Rocky Mount, NC 27801",0x89ae87b9e7217121:0xb1e6a01214b5d39c,5.0,1
0,BATH ELEMENTARY,27808,Bath Elementary School,"110 King St, Bath, NC 27808",0x89af40912590bdd3:0xcc3948abe57cca09,4.4,7
0,BATON ELEMENTARY,28630,Baton Elementary School,"1400 Baton School Rd, Granite Falls, NC 28630",0x8850d81596ad4a89:0x552bf1fb10c603ae,4.5,11
0,BATTLEGROUND ELEMENTARY,28092,Battleground Elementary School,"301 Jeb Seagle Dr, Lincolnton, NC 28092",0x8856ceda82dc3c33:0x6d278fdb94e645d2,5.0,5
0,BAUCOM ELEMENTARY,27502,Baucom Elementary School,"400 Hunter St, Apex, NC 27502",0x89acf3a7cf43df9b:0x85913358b4b9a49c,3.8,13
0,BEAR GRASS CHARTER SCHOOL,27982,Bear Grass Charter School,"6344 E Bear Grass Rd, Williamston, NC 27892",0x89af0314959283fd:0x302ef7c6454fe598,5.0,3
0,BEAUFORT CO EARLY COLLEGE HIGH,27889,Beaufort County Community College,"5337 US-264, Washington, NC 27889",0x89af3d9fc423df91:0x8e4fabd72973d0f,4.6,51
0,BEAUFORT ELEMENTARY,28516,Beaufort Elementary School,"110 Carraway Dr, Beaufort, NC 28516",0x89a890a89ba0db17:0xdcad0f16e21111f2,4.5,8
0,BEAUFORT MIDDLE,28516,Beaufort Middle School,"100 Carraway Dr, Beaufort, NC 28516",0x89a890a89ecf2469:0xd80721d1d3bcdeef,4.3,6
0,BEAVER DAM ELEMENTARY,28382,Beaver Dam Elementary School,"12059 NC-210, Roseboro, NC 28382",0x89aba57cee809b5d:0x199826ee55caec09,5.0,1
0,BEDDINGFIELD HIGH,27893,Beddingfield High School,"4510 Old Stantonsburg Rd, Wilson, NC 27893",0x89ae9f70a34915e5:0xec7f8ca4524e5457,4.6,13
0,BELL ELEMENTARY,28805,Charles C. Bell Elementary School,"90 Maple Springs Rd, Asheville, NC 28805",0x8859f3f40cce9505:0x5bfabfe031d704c,4.4,7
0,BELL FORK ELEMENTARY,28540,Bell Fork Elementary School,"500 Bell Fork Rd, Jacksonville, NC 28540",0x89a910133ad25ac1:0x282cd0cf15d054d5,4.2,17
0,BELMONT CENTRAL ELEMENTARY,28012,Belmont Central Elementary School,"310 Eagle Rd, Belmont, NC 28012",0x8856bd8cf4972457:0xee8dd8737b4ce2e1,4.4,9
0,BELMONT ELEMENTARY SCHOOL,27870,Belmont Elementary School,"1517 Bolling Rd, Roanoke Rapids, NC 27870",0x89ae10befa6bb77b:0x967c1963fb2e983e,4.3,12
0,BELMONT MIDDLE,28012,Belmont Middle School,"1020 S Point Rd, Belmont, NC 28012",0x8856bd859ceec1a5:0xa9631d713cb7ed02,4.6,5
0,BELVILLE ELEMENTARY,28451,Belville Elementary School,"575 River Rd SE, Leland, NC 28451",0x89aa18cd89404ee9:0x53a631d6f5ccf7cd,3.9,7
0,BELVOIR ELEMENTARY,27834,Belvoir Elementary School,"2568 NC-33, Greenville, NC 27834",0x89aee8ddc9718cbb:0xe20f1af34ae71374,4.5,8
0,BEN D QUINN ELEMENTARY,28562,Ben D Quinn Elementary School,"4275 Dr. M.L.K. Jr Blvd, New Bern, NC 28562",0x89a8d71eb22fc01d:0x5748761a0be8ff9,4.8,8
0,BEN L. SMITH HIGH SCHOOL,27407,Smith High School,"2407 S Holden Rd, Greensboro, NC 27406",0x88531a3979e045fb:0x16d5b6c692c8b585,3.6,23
0,BENHAVEN ELEMENTARY,27332,Benhaven Elementary,"520 Olive Farm Rd, Sanford, NC 27332",0x89ab5ec6eb084bb9:0xe8284ae2049f2279,4.4,5
0,BENJAMIN J MARTIN ELEMENTARY,28303,Benjamin Martin Elementary,"430 N Reilly Rd, Fayetteville, NC 28303",0x89ab6a9a1ee732fd:0x20e6febb3dc39555,3.9,14
0,BENSON ELEMENTARY,27504,Benson Elementary School,"2040 NC-50, Benson, NC 27504",0x89ac78cfce0acbe5:0xe2cdf9e2bf673fa0,4.1,8
0,BENSON MIDDLE,27504,Benson Middle School,"1600 N Wall St, Benson, NC 27504",0x89ac7892a85b1aa9:0xc63faf8164858dc3,4.8,11
0,BENTON HEIGHTS ELEMENTARY,28110,Benton Heights Elementary,"1200 Concord Ave, Monroe, NC 28110",0x885430cf1641761d:0x781d06bf54b942ef,4.1,12
0,BENVENUE ELEMENTARY,27804,Benvenue Elementary School,"2700 Nicodemus Mile Rd, Rocky Mount, NC 27804",0x89ae874cc77ef09b:0xa29c04ca861d160c,4.4,9
0,BEREWICK ELEMENTARY,28278,Berewick Elementary,"5910 Dixie River Rd, Charlotte, NC 28278",0x885699da8eac22ab:0x21356f2ec15ea18,4.7,6
0,BERRYHILL SCHOOL,28278,Berryhill School,"10501 Windy Grove Rd, Charlotte, NC 28278",0x885697f42f93a563:0x39a257058ff2b074,4.3,11
0,BERTIE EARLY COLLEGE HIGH,27983,Bertie Early College,"717 US-13, Windsor, NC 27983",0x89afaf80df58c4b7:0xda93e8f024c1abcf,5.0,2
0,BERTIE HIGH,27983,Bertie High School,"716 US-13, Windsor, NC 27983",0x89afa5214793f0d5:0xfd073a276a2cae1e,3.0,1
0,BERTIE MIDDLE,27983,Bertie Middle School,"652 US-13, Windsor, NC 27983",0x89afa6f95bf9bc9f:0xeb84964611f3cd0d,5.0,2
0,BESSEMER CITY CENTRAL ELEM,28016,Bessemer City Central Elem,"1400 Puetts Chapel Rd, Bessemer City, NC 28016",0x8856c3b64e394999:0x4322c5172c38e463,3.2,13
0,BESSEMER CITY HIGH,28016,Bessemer City High School,"119 Yellow Jacket Ln, Bessemer City, NC 28016",0x8856c3b30e1db31f:0x5cc957ddc4da7d21,3.7,6
0,BESSEMER CITY MIDDLE,28016,Bessemer City Middle School,"525 Ed Wilson Rd, Bessemer City, NC 28016",0x8856c28b0b902789:0xd8b3f9bb0faae044,2.9,9
0,BESSEMER ELEMENTARY,27405,Bessemer Elementary School,"918 Huffine Mill Rd, Greensboro, NC 27405",0x885321fc5bab9299:0xd987c2c21c89f3ab,4.4,10
0,BETHANY COMMUNITY SCHOOL,27358,Bethany Community School,"1288 Hudson Rd, Summerfield, NC 27358",0x8852e5b37dadf36f:0x521b51ace0451a56,4.2,12
0,BETHANY ELEMENTARY,27320,Bethany Elementary School,"271 Bethany Rd, Reidsville, NC 27320",0x8852e5b230c77b1d:0x9148704a4ed5d390,3.6,7
0,BETHEL ELEMENTARY,27812,Bethel Elementary School,"152 E Washington St, Bethel, NC 27812",0x89aefa86a2e170b1:0xca70ffbd679bfed,5.0,3
0,BETHEL ELEMENTARY,28107,Bethel Elementary School,"2425 Midland Rd, Midland, NC 28107",0x8854142f570e816d:0x4db8f235e2683047,5.0,9
0,BETHEL ELEMENTARY,28679,Bethel Elementary School,"138 Bethel School Rd, Sugar Grove, NC 28679",0x8850f523c096ccdb:0x52f3f6bc5ae0141,4.5,8
0,BETHEL ELEMENTARY,28716,Bethel Elementary School,"4700 Old River Rd, Canton, NC 28716",0x88599d9f74b5a0a1:0x58aaa510ff29afc0,5.0,8
0,BETHEL HILL CHARTER,27574,Bethel Hill Charter School,"401 Bethel Hill School Rd, Roxboro, NC 27574",0x89ad6c1189fcc30b:0x3bb851d9cdd7bd62,5.0,2
0,BETHEL MIDDLE,28786,Bethel Middle School,"630 Sonoma Rd, Waynesville, NC 28786",0x88599d91c35410c9:0x1dc16c96b1f46ef7,3.4,5
0,BETHESDA ELEMENTARY,27703,Bethesda Elementary School,"2009 S Miami Blvd, Durham, NC 27703",0x89ace5335673093b:0x27d1e68fbe0820e,4.5,18
0,BETHLEHEM ELEMENTARY,28681,Bethlehem Elementary School,"7900 NC-127, Taylorsville, NC 28681",0x88513b139845ee4b:0xc624f8c93b44e33,4.5,4
0,BETHWARE ELEMENTARY,28086,Bethware Elementary,"115 Bethware Dr, Kings Mountain, NC 28086",0x8856e7451dfa4321:0xd060ab5649150a7f,5.0,7
0,BEULAVILLE ELEMENTARY,28518,Beulaville Elementary School,"138 Lyman Rd, Beulaville, NC 28518",0x89a967c115963a69:0xa7382e67873a6920,3.1,11
0,BEVERLY WOODS ELEMENTARY,28210,Beverly Woods Elementary School,"6001 Quail Hollow Rd, Charlotte, NC 28210",0x88569e75f84ac69b:0x553c6d92170268a,4.5,8
0,BILL HEFNER ELEMENTARY,28314,Hefner Elementary School,"7059 Calamar Dr, Fayetteville, NC 28314",0x89ab3f8a31338905:0xbfd47badf23b7fdc,4.2,17
0,BILLINGSVILLE ELEMENTARY,28205,Billingsville Elementary,"124 Skyland Ave, Charlotte, NC 28205",0x8854200a9ae66b25:0x7b044bc03da53be,3.7,16
0,BLACK MOUNTAIN ELEMENTARY,28711,Black Mountain Elementary School,"100 Flat Creek Rd, Black Mountain, NC 28711",0x8859f925cf96577f:0x887f69d18840e8ed,5.0,1
0,BLACKBURN ELEMENTARY,28658,Blackburn Elementary School,"4377 NC-10 Hwy, Newton, NC 28658",0x885132a5721639a9:0x381cf622017dd729,4.5,6
